,PlayerName,Last30,Last7
964,Reix C.,0,0
965,Betov S.,0,0
966,Fidirko N.,0,0
967,Siriluethaiwattana P.,0,0
968,Deen Heshaam A.,0,0
969,Singh S.,0,0
970,Rosenholm P.,0,0
971,Laaksonen H.,0,0
972,Mitchell B.,0,0
973,Stebe C-M.,0,0
974,Zayed M. S.,0,0
975,Safwat M.,0,0
976,Saville L.,0,0
977,Pella G.,0,0
978,Weintraub A.,0,0
979,Pouille L.,0,0
980,Alund M.,0,0
981,Viola M.,0,0
982,Veger F.,0,0
983,Reyes-Varela M.A.,0,0
984,Ramirez C.,0,0
985,Schwartzman D.,0,0
986,Rachidi Y.,0,0
987,Carreno-Busta P.,0,0
988,Granollers G.,0,0
989,Carballes Baena R.,2,0
990,Struff J.L.,2,0
991,Krawietz K.,0,0
992,Ghedin R.,0,0
993,Basic M.,0,0
994,Evans D.,1,0
995,Edmund K.,0,0
996,Ymer E.,0,0
997,Pavic A.,0,0
998,Bossel A.,0,0
999,Salamanca C.,0,0
1000,Estrella Burgos V.,0,0
1001,Barrientos N.,0,0
1002,Struvay E.,0,0
1003,Gomez E.,0,0
1004,King K.,0,0
1005,Harrison C.,0,0
1006,Topic J.,0,0
1007,Coric B.,0,0
1008,Setkic A.,0,0
1009,Novak D.,0,0
1010,Peliwo F.,0,0
1011,Bogaerts R.,0,0
